iter	Passed	Remaining
610	2805	6378
611	2810	6374
612	2815	6370
613	2820	6365
614	2824	6360
615	2828	6355
616	2832	6350
617	2837	6344
618	2841	6340
619	2846	6335
620	2850	6329
621	2854	6324
622	2859	6319
623	2863	6315
624	2867	6309
625	2872	6303
626	2876	6299
627	2881	6294
628	2885	6289
629	2889	6283
630	2894	6280
631	2899	6275
632	2903	6270
633	2908	6265
634	2912	6261
635	2916	6255
636	2921	6250
637	2926	6246
638	2930	6242
639	2934	6236
640	2939	6232
641	2943	6227
642	2948	6222
643	2952	6217
644	2956	6211
645	2961	6206
646	2965	6202
647	2970	6197
648	2975	6193
649	2979	6188
650	2984	6184
651	2989	6181
652	2993	6175
653	2998	6170
654	3002	6166
655	3007	6161
656	3011	6156
657	3016	6151
658	3020	6147
659	3026	6143
660	3030	6138
661	3034	6133
662	3039	6128
663	3043	6123
664	3047	6117
665	3051	6112
666	3056	6108
667	3060	6103
668	3065	6098
669	3069	6093
670	3074	6088
671	3078	6084
672	3083	6079
673	3088	6075
674	3092	6070
675	3096	6065
676	3102	6062
677	3106	6056
678	3110	6050
679	3114	6045
680	3119	6041
681	3123	6036
682	3128	6031
683	3132	6027
684	3137	6022
685	3141	6017
686	3145	6012
687	3150	6007
688	3155	6004
689	3160	6000
690	3165	5996
691	3169	5991
692	3174	5986
693	3178	5980
694	3182	5976
695	3186	5971
696	3191	5965
697	3195	5961
698	3200	5956
699	3205	5952
700	3209	5947
701	3214	5943
702	3218	5938
703	3223	5933
704	3227	5929
705	3232	5924
706	3236	5919
707	3241	5914
708	3245	5910
709	3250	5905
710	3254	5899
711	3258	5894
712	3263	5890
713	3267	5886
714	3272	5880
715	3276	5875
716	3281	5871
717	3285	5866
718	3289	5861
719	3294	5857
720	3299	5852
721	3303	5848
722	3307	5842
723	3313	5839
724	3317	5834
725	3321	5829
726	3326	5825
727	3330	5819
728	3337	5818
729	3342	5815
730	3347	5810
731	3351	5805
732	3356	5800
733	3360	5796
734	3365	5791
735	3369	5787
736	3374	5783
737	3379	5778
738	3383	5773
739	3387	5768
740	3393	5765
741	3397	5759
742	3401	5755
743	3406	5750
744	3411	5746
745	3415	5742
746	3420	5736
747	3424	5732
748	3429	5727
749	3434	5723
750	3439	5720
751	3444	5716
752	3448	5711
753	3453	5706
754	3458	5703
755	3463	5698
756	3468	5694
757	3473	5691
758	3478	5686
759	3482	5682
760	3488	5678
761	3492	5674
762	3496	5668
763	3501	5664
764	3506	5660
765	3510	5655
766	3515	5651
767	3520	5647
768	3525	5644
769	3531	5641
770	3538	5639
771	3544	5637
772	3549	5634
773	3555	5631
774	3560	5627
775	3565	5624
776	3571	5621
777	3575	5616
778	3580	5611
779	3585	5607
780	3589	5602
781	3594	5597
782	3598	5593
783	3603	5589
784	3608	5584
785	3613	5580
786	3618	5577
787	3622	5572
788	3627	5567
789	3631	5562
790	3636	5558
791	3640	5553
792	3646	5550
793	3652	5547
794	3656	5542
795	3661	5537
796	3665	5533
797	3670	5528
798	3674	5523
799	3678	5518
800	3684	5514
801	3688	5509
802	3692	5504
803	3697	5500
804	3702	5495
805	3706	5491
806	3711	5486
807	3716	5482
808	3720	5477
809	3724	5472
810	3729	5467
811	3734	5463
812	3738	5458
813	3742	5453
814	3747	5449
815	3752	5444
816	3756	5438
817	3760	5434
818	3765	5430
819	3770	5425
820	3774	5420
821	3779	5416
822	3783	5411
823	3787	5405
824	3792	5401
825	3797	5397
826	3801	5392
827	3806	5387
828	3810	5383
829	3815	5377
830	3819	5373
831	3823	5368
832	3828	5363
833	3832	5358
834	3836	5353
835	3841	5349
836	3846	5344
837	3850	5339
838	3855	5334
839	3859	5330
840	3864	5325
841	3868	5320
842	3873	5316
843	3878	5312
844	3882	5307
845	3887	5302
846	3891	5297
847	3895	5292
848	3900	5287
849	3904	5282
850	3909	5278
851	3913	5273
852	3918	5268
853	3922	5263
854	3927	5259
855	3931	5254
856	3936	5249
857	3941	5246
858	3945	5240
859	3949	5235
860	3955	5232
861	3959	5227
862	3964	5222
863	3968	5217
864	3973	5213
865	3977	5208
866	3981	5203
867	3986	5198
868	3991	5194
869	3995	5189
870	4000	5184
871	4004	5180
872	4009	5176
873	4013	5171
874	4018	5166
875	4023	5162
876	4027	5157
877	4031	5152
878	4036	5147
879	4041	5143
880	4045	5138
881	4050	5133
882	4055	5129
883	4059	5124
884	4064	5120
885	4070	5117
886	4074	5112
887	4078	5107
888	4083	5103
889	4088	5099
890	4092	5094
891	4097	5089
892	4102	5086
893	4107	5081
894	4112	5076
895	4117	5073
896	4121	5068
897	4125	5063
898	4130	5058
899	4135	5054
900	4140	5049
901	4144	5045
902	4149	5041
903	4154	5036
904	4158	5031
905	4163	5027
906	4168	5023
907	4173	5018
908	4177	5014
909	4183	5010
910	4187	5005
911	4191	5000
912	4196	4996
913	4201	4992
914	4205	4987
915	4210	4982
916	4215	4979
917	4220	4974
918	4224	4969
919	4230	4965
920	4234	4961
921	4239	4956
922	4244	4952
923	4249	4948
924	4253	4943
925	4257	4938
926	4262	4934
927	4267	4929
928	4271	4924
929	4276	4919
930	4281	4915
931	4285	4911
932	4290	4906
933	4296	4903
934	4300	4898
935	4304	4893
936	4309	4889
937	4314	4884
938	4318	4879
939	4322	4874
940	4328	4871
941	4333	4866
942	4337	4862
943	4342	4857
944	4347	4853
945	4351	4848
946	4356	4843
947	4361	4839
948	4365	4834
949	4370	4830
950	4374	4825
951	4379	4821
952	4383	4815
953	4388	4811
954	4392	4806
955	4397	4801
956	4401	4797
957	4405	4792
958	4410	4787
959	4414	4782
960	4418	4777
961	4424	4774
962	4428	4769
963	4433	4764
964	4437	4759
965	4442	4755
966	4447	4751
967	4452	4746
968	4457	4742
969	4461	4737
970	4465	4732
971	4470	4728
972	4475	4723
973	4479	4718
974	4484	4714
975	4489	4710
976	4493	4705
977	4498	4700
978	4502	4695
979	4507	4691
980	4511	4686
981	4516	4681
982	4521	4677
983	4525	4672
984	4530	4667
985	4534	4663
986	4539	4659
987	4543	4654
988	4548	4649
989	4554	4646
990	4559	4642
991	4563	4637
992	4569	4633
993	4573	4628
994	4577	4623
995	4582	4619
996	4587	4614
997	4591	4609
998	4595	4604
999	4600	4600
1000	4604	4595
1001	4609	4591
1002	4615	4588
1003	4620	4583
1004	4624	4578
1005	4629	4573
1006	4634	4569
1007	4638	4564
1008	4642	4559
1009	4647	4555
1010	4652	4551
1011	4657	4547
1012	4662	4542
1013	4667	4538
1014	4671	4533
1015	4676	4529
1016	4680	4524
1017	4684	4519
1018	4689	4514
1019	4694	4510
1020	4699	4506
1021	4703	4501
1022	4707	4495
1023	4712	4491
1024	4716	4486
1025	4721	4482
1026	4726	4477
1027	4731	4473
1028	4735	4468
1029	4739	4463
1030	4744	4459
1031	4749	4454
1032	4753	4450
1033	4758	4445
1034	4762	4440
1035	4767	4436
1036	4772	4431
1037	4776	4426
1038	4780	4422
1039	4785	4417
1040	4789	4412
1041	4794	4408
1042	4800	4404
1043	4805	4400
1044	4811	4397
1045	4817	4393
1046	4822	4389
1047	4828	4385
1048	4833	4382
1049	4839	4378
1050	4844	4374
1051	4849	4370
1052	4855	4366
1053	4860	4362
1054	4865	4358
1055	4871	4354
1056	4876	4350
1057	4881	4346
1058	4887	4342
1059	4893	4339
1060	4898	4335
1061	4904	4331
1062	4910	4328
1063	4915	4323
1064	4920	4320
1065	4926	4316
1066	4931	4312
1067	4937	4308
1068	4942	4304
1069	4947	4300
1070	4952	4296
1071	4958	4292
1072	4963	4288
1073	4968	4283
1074	4973	4279
1075	4978	4275
1076	4983	4271
1077	4989	4267
1078	4994	4263
1079	4998	4258
1080	5004	4254
1081	5008	4249
1082	5013	4245
1083	5018	4240
1084	5022	4235
1085	5027	4231
1086	5031	4226
1087	5036	4222
1088	5041	4217
1089	5045	4212
1090	5050	4208
1091	5055	4203
1092	5060	4198
1093	5064	4194
1094	5069	4189
1095	5073	4184
1096	5078	4180
1097	5083	4176
1098	5088	4171
1099	5093	4167
1100	5097	4162
1101	5102	4158
1102	5107	4153
1103	5111	4148
1104	5116	4144
1105	5121	4139
1106	5126	4135
1107	5131	4131
1108	5136	4126
1109	5140	4121
1110	5145	4116
1111	5149	4112
1112	5154	4107
1113	5158	4102
1114	5163	4098
1115	5167	4093
1116	5172	4088
1117	5177	4084
1118	5182	4080
1119	5186	4075
1120	5191	4070
1121	5196	4066
1122	5201	4061
1123	5205	4057
1124	5209	4052
1125	5215	4048
1126	5219	4043
1127	5224	4038
1128	5229	4034
1129	5234	4030
1130	5239	4025
1131	5245	4021
1132	5249	4017
1133	5254	4012
1134	5258	4007
1135	5264	4003
1136	5268	3998
1137	5273	3994
1138	5278	3990
1139	5283	3985
1140	5287	3981
1141	5293	3976
1142	5298	3972
1143	5303	3968
1144	5308	3964
1145	5313	3959
1146	5318	3954
1147	5322	3950
1148	5327	3945
1149	5331	3941
1150	5336	3936
1151	5341	3931
1152	5346	3927
1153	5351	3922
1154	5355	3917
1155	5360	3913
1156	5364	3908
1157	5369	3904
1158	5375	3900
1159	5379	3895
1160	5383	3890
1161	5388	3886
1162	5394	3882
1163	5398	3877
1164	5402	3872
1165	5408	3868
1166	5412	3863
1167	5417	3858
1168	5422	3854
1169	5426	3849
1170	5431	3844
1171	5435	3840
1172	5441	3836
1173	5445	3831
1174	5449	3826
1175	5454	3821
1176	5459	3817
1177	5465	3813
1178	5470	3809
1179	5475	3804
1180	5479	3799
