iter	Passed	Remaining
1107	67338	53907
1108	67387	53837
1109	67464	53789
1110	67506	53713
1111	67563	53649
1112	67635	53597
1113	67700	53540
1114	67784	53498
1115	67865	53452
1116	67936	53400
1117	68012	53351
1118	68074	53291
1119	68149	53241
1120	68227	53194
1121	68295	53139
1122	68367	53086
1123	68444	53038
1124	68501	52974
1125	68569	52918
1126	68657	52879
1127	68733	52829
1128	68805	52777
1129	68880	52727
1130	68945	52669
1131	69024	52622
1132	69080	52557
1133	69143	52497
1134	69203	52435
1135	69267	52377
1136	69347	52331
1137	69409	52270
1138	69467	52207
1139	69542	52156
1140	69622	52110
1141	69702	52063
1142	69762	52001
1143	69854	51963
1144	69931	51914
1145	70008	51864
1146	70092	51820
1147	70146	51754
1148	70204	51691
1149	70284	51643
1150	70362	51595
1151	70441	51547
1152	70495	51480
1153	70555	51418
1154	70623	51362
1155	70701	51313
1156	70781	51266
1157	70855	51213
1158	70933	51165
1159	71005	51111
1160	71078	51058
1161	71163	51015
1162	71250	50971
1163	71329	50923
1164	71398	50867
1165	71449	50799
1166	71512	50738
1167	71579	50681
1168	71646	50624
1169	71699	50557
1170	71775	50506
1171	71853	50457
1172	71926	50403
1173	71995	50347
1174	72058	50287
1175	72124	50229
1176	72195	50174
1177	72274	50125
1178	72351	50075
1179	72408	50010
1180	72433	49924
1181	72509	49873
1182	72588	49824
1183	72672	49778
1184	72783	49750
1185	72854	49695
1186	72926	49641
1187	72992	49583
1188	73045	49515
1189	73132	49472
1190	73176	49399
1191	73229	49331
1192	73307	49281
1193	73388	49233
1194	73449	49171
1195	73482	49090
1196	73561	49041
1197	73637	48989
1198	73716	48939
1199	73776	48876
1200	73845	48820
1201	73922	48769
1202	73994	48714
1203	74061	48656
1204	74154	48615
1205	74203	48546
1206	74275	48491
1207	74322	48420
1208	74393	48365
1209	74468	48311
1210	74523	48246
1211	74582	48183
1212	74632	48114
1213	74697	48054
1214	74792	48014
1215	74864	47960
1216	74939	47906
1217	74972	47827
1218	75040	47769
1219	75081	47695
1220	75165	47647
1221	75221	47582
1222	75287	47524
1223	75337	47455
1224	75417	47405
1225	75500	47357
1226	75572	47302
1227	75647	47248
1228	75721	47195
1229	75763	47121
1230	75843	47071
1231	75914	47015
1232	75982	46957
1233	76076	46915
1234	76143	46857
1235	76216	46802
1236	76295	46751
1237	76370	46698
1238	76437	46639
1239	76517	46589
1240	76587	46532
1241	76653	46473
1242	76726	46418
1243	76808	46369
1244	76888	46318
1245	76960	46262
1246	77043	46213
1247	77102	46150
1248	77161	46086
1249	77239	46034
1250	77274	45956
1251	77325	45888
1252	77370	45816
1253	77450	45766
1254	77513	45704
1255	77594	45655
1256	77663	45597
1257	77729	45537
1258	77804	45484
1259	77859	45418
1260	77938	45366
1261	78019	45315
1262	78099	45264
1263	78167	45206
1264	78245	45153
1265	78328	45104
1266	78403	45049
1267	78483	44998
1268	78531	44928
1269	78594	44866
1270	78674	44815
1271	78754	44763
1272	78829	44709
1273	78901	44653
1274	78972	44596
1275	79024	44528
1276	79101	44475
1277	79138	44399
1278	79191	44332
1279	79258	44273
1280	79295	44197
1281	79371	44143
1282	79446	44088
1283	79522	44034
